trade_id,market_id,question,outcome_label,entry_time,exit_time,entry_price,exit_price,pre_crash_high,drop_pct,size_usd,shares,hold_hours,pnl_usd,is_profitable,exit_reason,entry_hour_utc,entry_dow,recovered_to_pct_of_high
19,553849,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,Yes,2026-03-30T15:42:28+00:00,2026-03-31T04:16:29.806581,0.038,0.0405,0.045,15.5556,2.0,52.6316,12.57,0.1316,1,RECOVERY,15,0,90.0
20,544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,2026-03-31T03:01:23+00:00,2026-03-31T05:01:32.208061,0.2035,0.2535,0.268,24.0672,2.0,9.828,2.0,0.4914,1,RECOVERY,3,1,94.5896
21,544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Yes,2026-03-31T03:16:26+00:00,2026-03-31T05:01:32.208148,0.1915,0.22,0.2405,20.3742,2.0,10.4439,1.75,0.2977,1,RECOVERY,3,1,91.4761
22,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-03-30T21:27:47+00:00,2026-03-31T05:16:33.643832,0.052,0.0855,0.0945,44.9735,2.0,38.4615,7.81,1.2885,1,RECOVERY,21,0,90.4762
23,531202,BitBoy convicted?,Yes,2026-03-31T05:01:32+00:00,2026-03-31T05:46:35.218465,0.4885,0.6235,0.6695,27.0351,2.0,4.0942,0.75,0.5527,1,RECOVERY,5,1,93.1292
24,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-03-31T03:01:24+00:00,2026-03-31T06:16:37.216400,0.088,0.1355,0.1405,37.3665,2.0,22.7273,3.25,1.0795,1,RECOVERY,3,1,96.4413
25,531202,BitBoy convicted?,Yes,2026-03-31T06:31:37+00:00,2026-03-31T06:46:38.894554,0.631,0.7195,0.762,17.1916,2.0,3.1696,0.25,0.2805,1,RECOVERY,6,1,94.4226
26,531202,BitBoy convicted?,Yes,2026-03-31T07:46:42+00:00,2026-03-31T08:16:43.614767,0.598,0.823,0.795,24.7799,2.0,3.3445,0.5,0.7525,1,RECOVERY,7,1,103.522
27,553838,Will the Minnesota Wild win the 2026 NHL Stanley Cup?,Yes,2026-03-29T08:22:22+00:00,2026-03-31T08:31:44.034825,0.051,0.0445,0.0645,20.9302,5.0,98.0392,48.16,-0.6373,0,TIMEOUT_48H,8,6,68.9922
28,531202,BitBoy convicted?,Yes,2026-03-31T10:46:50+00:00,2026-03-31T11:01:51.711018,0.7545,0.825,0.9145,17.4959,2.0,2.6508,0.25,0.1869,1,RECOVERY,10,1,90.2132
29,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-03-31T03:01:24+00:00,2026-03-31T12:01:54.736405,0.1045,0.175,0.1725,39.4203,2.0,19.1388,9.01,1.3493,1,RECOVERY,3,1,101.4493
30,531202,BitBoy convicted?,No,2026-03-30T23:12:54+00:00,2026-03-31T17:04:21.991754,0.797,0.8925,0.949,16.0169,2.0,2.5094,17.86,0.2396,1,RECOVERY,23,0,94.0464
31,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-03-31T17:04:22+00:00,2026-03-31T17:19:22.960274,0.154,0.175,0.19,18.9474,2.0,12.987,0.25,0.2727,1,RECOVERY,17,1,92.1053
32,550694,Will Italy qualify for the 2026 FIFA World Cup?,No,2026-03-31T19:19:29+00:00,2026-03-31T19:34:31.674236,0.105,0.22,0.195,46.1538,2.0,19.0476,0.25,2.1905,1,RECOVERY,19,1,112.8205
33,550703,Will Sweden qualify for the 2026 FIFA World Cup?,No,2026-03-31T19:19:30+00:00,2026-03-31T19:34:31.674316,0.26,0.385,0.41,36.5854,2.0,7.6923,0.25,0.9615,1,RECOVERY,19,1,93.9024
34,550706,Will Poland qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T19:19:30+00:00,2026-03-31T19:34:31.674376,0.3,0.43,0.44,31.8182,2.0,6.6667,0.25,0.8667,1,RECOVERY,19,1,97.7273
35,550703,Will Sweden qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T19:34:31+00:00,2026-03-31T19:49:33.068574,0.615,0.73,0.74,16.8919,2.0,3.252,0.25,0.374,1,RECOVERY,19,1,98.6486
36,550706,Will Poland qualify for the 2026 FIFA World Cup?,No,2026-03-31T19:34:32+00:00,2026-03-31T19:49:33.068657,0.57,0.71,0.7,18.5714,2.0,3.5088,0.25,0.4912,1,RECOVERY,19,1,101.4286
37,550694,Will Italy qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T19:49:33+00:00,2026-03-31T20:19:34.544121,0.72,0.81,0.895,19.5531,2.0,2.7778,0.5,0.25,1,RECOVERY,19,1,90.5028
38,550703,Will Sweden qualify for the 2026 FIFA World Cup?,No,2026-03-31T19:49:33+00:00,2026-03-31T20:19:34.544194,0.27,0.43,0.41,34.1463,2.0,7.4074,0.5,1.1852,1,RECOVERY,19,1,104.878
39,550706,Will Poland qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T19:49:33+00:00,2026-03-31T20:19:34.544250,0.29,0.425,0.44,34.0909,2.0,6.8966,0.5,0.931,1,RECOVERY,19,1,96.5909
40,550694,Will Italy qualify for the 2026 FIFA World Cup?,No,2026-03-31T20:19:34+00:00,2026-03-31T20:34:35.375794,0.19,0.53,0.305,37.7049,2.0,10.5263,0.25,3.5789,1,RECOVERY,20,1,173.7705
41,550703,Will Sweden qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T20:19:34+00:00,2026-03-31T20:34:35.375883,0.57,0.925,0.8,28.75,2.0,3.5088,0.25,1.2456,1,RECOVERY,20,1,115.625
42,550706,Will Poland qualify for the 2026 FIFA World Cup?,No,2026-03-31T20:19:34+00:00,2026-03-31T20:34:35.375941,0.575,0.745,0.735,21.7687,2.0,3.4783,0.25,0.5913,1,RECOVERY,20,1,101.3605
43,550694,Will Italy qualify for the 2026 FIFA World Cup?,No,2026-03-31T21:19:37+00:00,2026-03-31T21:34:38.690426,0.44,0.745,0.53,16.9811,2.0,4.5455,0.25,1.3864,1,RECOVERY,21,1,140.566
44,544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Yes,2026-03-30T21:27:47+00:00,2026-04-03T14:05:25.140648,0.097,0.161,0.1275,23.9216,2.0,20.6186,88.63,1.3196,1,RECOVERY,21,0,126.2745
45,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,Yes,2026-03-31T03:46:27+00:00,2026-04-03T14:05:25.140759,0.235,0.155,0.31,24.1935,2.0,8.5106,82.32,-0.6809,0,TIMEOUT_48H,3,1,50.0
46,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-03-31T13:31:59+00:00,2026-04-03T14:05:25.140837,0.069,0.069,0.088,21.5909,2.0,28.9855,72.56,0.0,0,TIMEOUT_48H,13,1,78.4091
47,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-01T00:34:48+00:00,2026-04-03T14:05:25.140900,0.114,0.079,0.135,15.5556,2.0,17.5439,61.51,-0.614,0,TIMEOUT_48H,0,2,58.5185
48,553849,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,Yes,2026-04-03T15:26:37+00:00,2026-04-03T21:42:00.681728,0.049,0.056,0.061,19.6721,5.0,102.0408,6.26,0.7143,1,RECOVERY,15,4,91.8033
49,544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Yes,2026-04-03T21:42:01+00:00,2026-04-03T22:42:05.519406,0.167,0.2535,0.2675,37.5701,5.0,29.9401,1.0,2.5898,1,RECOVERY,21,4,94.7664
50,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-03T21:42:01+00:00,2026-04-04T00:42:13.426941,0.05,0.0625,0.0685,27.0073,5.0,100.0,3.0,1.25,1,RECOVERY,21,4,91.2409
51,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-04-04T00:42:13+00:00,2026-04-04T01:27:16.241072,0.141,0.1625,0.1715,17.7843,5.0,35.461,0.75,0.7624,1,RECOVERY,0,5,94.7522
52,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-03T21:42:00+00:00,2026-04-04T01:57:18.251872,0.053,0.0755,0.079,32.9114,5.0,94.3396,4.25,2.1226,1,RECOVERY,21,4,95.5696
53,544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Yes,2026-04-04T00:27:12+00:00,2026-04-04T02:42:20.450905,0.2225,0.2475,0.2675,16.8224,5.0,22.4719,2.25,0.5618,1,RECOVERY,0,5,92.5234
54,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-04T02:27:19+00:00,2026-04-04T02:42:20.450989,0.0375,0.0675,0.0645,41.8605,5.0,133.3333,0.25,4.0,1,RECOVERY,2,5,104.6512
55,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,Yes,2026-04-03T14:56:34+00:00,2026-04-04T03:12:22.437256,0.11,0.211,0.14,21.4286,5.0,45.4545,12.26,4.5909,1,RECOVERY,14,4,150.7143
56,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-04T08:57:47+00:00,2026-04-04T11:12:56.676853,0.0535,0.07,0.0755,29.1391,5.0,93.4579,2.25,1.5421,1,RECOVERY,8,5,92.7152
57,556108,Will MegaETH perform an airdrop by June 30? ,No,2026-04-03T22:57:05+00:00,2026-04-04T20:43:29.052192,0.3685,0.46,0.5045,26.9574,5.0,13.5685,21.77,1.2415,1,RECOVERY,22,4,91.1794
58,553838,Will the Minnesota Wild win the 2026 NHL Stanley Cup?,Yes,2026-04-04T15:13:11+00:00,2026-04-04T21:28:30.816089,0.0415,0.046,0.049,15.3061,5.0,120.4819,6.26,0.5422,1,RECOVERY,15,5,93.8776
59,544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,2026-04-04T00:42:13+00:00,2026-04-04T23:13:35.823434,0.279,0.3425,0.33,15.4545,5.0,17.9211,22.52,1.138,1,RECOVERY,0,5,103.7879
60,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-04T21:58:32+00:00,2026-04-04T23:58:38.508826,0.056,0.095,0.08,30.0,5.0,89.2857,2.0,3.4821,1,RECOVERY,21,5,118.75
61,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-04T04:12:25+00:00,2026-04-05T00:58:40.767899,0.0805,0.0885,0.0975,17.4359,5.0,62.1118,20.77,0.4969,1,RECOVERY,4,5,90.7692
62,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-05T00:43:39+00:00,2026-04-05T01:58:43.859926,0.0675,0.0985,0.095,28.9474,5.0,74.0741,1.25,2.2963,1,RECOVERY,0,6,103.6842
63,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-04-05T00:28:39+00:00,2026-04-05T02:58:47.189643,0.169,0.253,0.2,15.5,5.0,29.5858,2.5,2.4852,1,RECOVERY,0,6,126.5
64,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-04-05T04:28:51+00:00,2026-04-05T04:43:51.878922,0.26,0.286,0.31,16.129,5.0,19.2308,0.25,0.5,1,RECOVERY,4,6,92.2581
65,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-05T04:43:51+00:00,2026-04-05T05:58:56.056545,0.071,0.118,0.1105,35.7466,5.0,70.4225,1.25,3.3099,1,RECOVERY,4,6,106.7873
66,531202,BitBoy convicted?,Yes,2026-03-31T13:31:59+00:00,2026-04-05T06:42:17.111647,0.735,0.735,0.875,16.0,2.0,2.7211,113.17,0.0,0,TIMEOUT_48H,13,1,84.0
67,550694,Will Italy qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T20:34:35+00:00,2026-04-05T06:42:17.111747,0.47,0.47,0.895,47.486,2.0,4.2553,106.13,0.0,0,TIMEOUT_48H,20,1,52.514
68,550703,Will Sweden qualify for the 2026 FIFA World Cup?,No,2026-03-31T20:34:35+00:00,2026-04-05T06:42:17.111842,0.075,0.075,0.43,82.5581,2.0,26.6667,106.13,0.0,0,TIMEOUT_48H,20,1,17.4419
69,550706,Will Poland qualify for the 2026 FIFA World Cup?,Yes,2026-03-31T20:34:35+00:00,2026-04-05T06:42:17.111905,0.255,0.255,0.44,42.0455,2.0,7.8431,106.13,0.0,0,TIMEOUT_48H,20,1,57.9545
70,544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,2026-04-05T05:58:56+00:00,2026-04-05T09:13:41.173462,0.239,0.3145,0.3485,31.4204,5.0,20.9205,3.25,1.5795,1,RECOVERY,5,6,90.2439
71,544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Yes,2026-04-05T02:58:47+00:00,2026-04-05T13:14:05.204963,0.211,0.2915,0.3225,34.5736,5.0,23.6967,10.26,1.9076,1,RECOVERY,2,6,90.3876
72,544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Yes,2026-04-03T15:56:39+00:00,2026-04-05T16:10:47.632485,0.122,0.079,0.1605,23.9875,5.0,40.9836,48.24,-1.7623,0,TIMEOUT_48H,15,4,49.2212
73,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-05T09:13:41+00:00,2026-04-05T17:49:31.070679,0.0855,0.1225,0.1235,30.7692,5.0,58.4795,8.6,2.1637,1,RECOVERY,9,6,99.1903
74,544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,2026-04-05T18:19:33+00:00,2026-04-05T18:49:35.689846,0.288,0.315,0.34,15.2941,5.0,17.3611,0.5,0.4688,1,RECOVERY,18,6,92.6471
75,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,No,2026-04-05T02:58:47+00:00,2026-04-05T21:19:44.430123,0.747,0.8295,0.915,18.3607,5.0,6.6934,18.35,0.5522,1,RECOVERY,2,6,90.6557
76,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-05T04:58:52+00:00,2026-04-05T21:19:44.430238,0.073,0.081,0.0885,17.5141,5.0,68.4932,16.35,0.5479,1,RECOVERY,4,6,91.5254
77,544096,Will Harvey Weinstein be sentenced to between 20 and 30 years in prison?,Yes,2026-04-05T14:44:11+00:00,2026-04-05T22:04:47.162073,0.245,0.275,0.2915,15.952,5.0,20.4082,7.34,0.6122,1,RECOVERY,14,6,94.3396
78,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,Yes,2026-04-04T04:57:28+00:00,2026-04-06T00:04:53.566369,0.287,0.351,0.358,19.8324,5.0,17.4216,43.12,1.115,1,RECOVERY,4,5,98.0447
79,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-06T01:04:56+00:00,2026-04-06T01:49:58.531831,0.0685,0.0735,0.081,15.4321,5.0,72.9927,0.75,0.365,1,RECOVERY,1,0,90.7407
80,553852,Will the Pittsburgh Penguins win the 2026 NHL Stanley Cup?,Yes,2026-04-06T01:49:58+00:00,2026-04-06T02:50:01.960119,0.0375,0.0415,0.0445,15.7303,5.0,133.3333,1.0,0.5333,1,RECOVERY,1,0,93.2584
81,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,No,2026-04-04T03:12:22+00:00,2026-04-06T03:20:03.273402,0.789,0.3575,0.969,18.5759,5.0,6.3371,48.13,-2.7345,0,TIMEOUT_48H,3,5,36.8937
82,556108,Will MegaETH perform an airdrop by June 30? ,Yes,2026-04-05T05:13:53+00:00,2026-04-06T09:35:22.501248,0.431,0.5005,0.5425,20.553,5.0,11.6009,28.36,0.8063,1,RECOVERY,5,6,92.2581
83,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-06T10:05:23+00:00,2026-04-06T13:39:42.235521,0.0705,0.0825,0.0865,18.4971,5.0,70.922,3.57,0.8511,1,RECOVERY,10,0,95.3757
84,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-06T15:26:25+00:00,2026-04-06T18:26:37.142277,0.0675,0.081,0.0825,18.1818,5.0,74.0741,3.0,1.0,1,RECOVERY,15,0,98.1818
85,553837,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,Yes,2026-04-06T19:11:40+00:00,2026-04-06T20:11:43.878256,0.04,0.0435,0.0475,15.7895,5.0,125.0,1.0,0.4375,1,RECOVERY,19,0,91.5789
86,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-05T18:04:32+00:00,2026-04-07T00:56:58.299813,0.098,0.1175,0.1225,20.0,5.0,51.0204,30.87,0.9949,1,RECOVERY,18,6,95.9184
87,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-07T01:42:01+00:00,2026-04-07T02:27:04.068442,0.113,0.139,0.143,20.979,5.0,44.2478,0.75,1.1504,1,RECOVERY,1,1,97.2028
88,544092,Will Harvey Weinstein be sentenced to no prison time?,Yes,2026-04-07T04:05:08+00:00,2026-04-07T10:05:27.915108,0.256,0.275,0.3055,16.2029,5.0,19.5312,6.01,0.3711,1,RECOVERY,4,1,90.0164
89,544095,Will Harvey Weinstein be sentenced to between 10 and 20 years in prison?,Yes,2026-04-05T11:13:54+00:00,2026-04-07T11:20:33.530799,0.2195,0.2235,0.315,30.3175,5.0,22.779,48.11,0.0911,1,TIMEOUT_48H,11,6,70.9524
90,553849,Will the Montreal Canadiens win the 2026 NHL Stanley Cup?,Yes,2026-04-05T11:13:54+00:00,2026-04-07T11:20:33.530901,0.0655,0.0475,0.0825,20.6061,5.0,76.3359,48.11,-1.374,0,TIMEOUT_48H,11,6,57.5758
91,553851,Will the Buffalo Sabres win the 2026 NHL Stanley Cup?,Yes,2026-04-07T09:20:25+00:00,2026-04-07T12:05:36.401335,0.0415,0.046,0.049,15.3061,5.0,120.4819,2.75,0.5422,1,RECOVERY,9,1,93.8776
92,544094,Will Harvey Weinstein be sentenced to between 5 and 10 years in prison?,Yes,2026-04-07T04:35:10+00:00,2026-04-07T12:35:38.025409,0.0695,0.078,0.0845,17.7515,5.0,71.9424,8.01,0.6115,1,RECOVERY,4,1,92.3077
93,559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,Yes,2026-04-05T13:14:05+00:00,2026-04-07T13:20:40.724721,0.074,0.0665,0.0875,15.4286,5.0,67.5676,48.11,-0.5068,0,TIMEOUT_48H,13,6,76.0
94,544093,Will Harvey Weinstein be sentenced to less than 5 years in prison?,Yes,2026-04-05T18:04:32+00:00,2026-04-07T18:07:06.095607,0.084,0.0745,0.103,18.4466,5.0,59.5238,48.04,-0.5655,0,TIMEOUT_48H,18,6,72.3301
95,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-07T13:35:41+00:00,2026-04-07T18:37:11.715568,0.0985,0.1295,0.1205,18.2573,5.0,50.7614,5.02,1.5736,1,RECOVERY,13,1,107.4689
96,553852,Will the Pittsburgh Penguins win the 2026 NHL Stanley Cup?,Yes,2026-04-07T08:20:21+00:00,2026-04-07T20:07:26.578520,0.0475,0.057,0.0575,17.3913,5.0,105.2632,11.78,1.0,1,RECOVERY,8,1,99.1304
97,561370,Will Kon Knueppel win the 2025–26 NBA Rookie of the Year award?,Yes,2026-04-06T00:19:54+00:00,2026-04-08T00:22:58.390178,0.4145,0.3145,0.707,41.372,5.0,12.0627,48.05,-1.2063,0,TIMEOUT_48H,0,0,44.4837
98,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-07T23:37:53+00:00,2026-04-08T01:38:06.419460,0.1075,0.1405,0.1365,21.2454,5.0,46.5116,2.0,1.5349,1,RECOVERY,23,1,102.9304
99,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,No,2026-04-06T03:20:03+00:00,2026-04-08T03:23:18.664311,0.3575,0.22,0.694,48.487,5.0,13.986,48.05,-1.9231,0,TIMEOUT_48H,3,0,31.7003
100,553858,Will the New York Knicks win the 2026 NBA Finals?,Yes,2026-04-08T01:08:03+00:00,2026-04-08T04:08:24.850163,0.0315,0.0365,0.04,21.25,5.0,158.7302,3.01,0.7937,1,RECOVERY,1,2,91.25
101,559661,Will Jon Ossoff win the 2028 Democratic presidential nomination?,Yes,2026-04-07T22:22:46+00:00,2026-04-08T04:53:30.546989,0.0565,0.0665,0.0665,15.0376,5.0,88.4956,6.51,0.885,1,RECOVERY,22,1,100.0
102,553852,Will the Pittsburgh Penguins win the 2026 NHL Stanley Cup?,Yes,2026-04-08T01:23:05+00:00,2026-04-08T06:38:43.917596,0.0495,0.0535,0.0585,15.3846,5.0,101.0101,5.26,0.404,1,RECOVERY,1,2,91.453
103,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-08T05:23:34+00:00,2026-04-08T07:08:47.986600,0.1185,0.132,0.1405,15.6584,5.0,42.1941,1.75,0.5696,1,RECOVERY,5,2,93.9502
104,553837,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,Yes,2026-04-06T23:26:54+00:00,2026-04-08T08:23:55.970628,0.0365,0.0395,0.0435,16.092,5.0,136.9863,32.95,0.411,1,RECOVERY,23,0,90.8046
105,553837,Will the Ottawa Senators win the 2026 NHL Stanley Cup?,Yes,2026-04-08T09:24:03+00:00,2026-04-08T10:09:07.663553,0.0315,0.037,0.0405,22.2222,5.0,158.7302,0.75,0.873,1,RECOVERY,9,2,91.358
106,556108,Will MegaETH perform an airdrop by June 30? ,Yes,2026-04-06T10:20:24+00:00,2026-04-08T10:24:13.373874,0.419,0.4055,0.5005,16.2837,5.0,11.9332,48.06,-0.1611,0,TIMEOUT_48H,10,0,81.019
107,544097,Will Harvey Weinstein be sentenced to more than 30 years in prison?,Yes,2026-04-08T09:09:00+00:00,2026-04-08T11:24:19.713689,0.085,0.127,0.132,35.6061,5.0,58.8235,2.26,2.4706,1,RECOVERY,9,2,96.2121
108,553826,Will the Edmonton Oilers win the 2026 NHL Stanley Cup?,Yes,2026-04-08T12:39:27+00:00,2026-04-08T13:24:32.342369,0.06,0.07,0.075,20.0,5.0,83.3333,0.75,0.8333,1,RECOVERY,12,2,93.3333
109,561365,Will Cooper Flagg win the 2025–26 NBA Rookie of the Year award?,No,2026-04-08T03:23:19+00:00,2026-04-08T14:27:51.602129,0.22,0.3175,0.3265,32.6187,5.0,22.7273,11.08,2.2159,1,RECOVERY,3,2,97.2435
110,561370,Will Kon Knueppel win the 2025–26 NBA Rookie of the Year award?,Yes,2026-04-08T03:23:19+00:00,2026-04-08T15:52:17.259023,0.214,0.305,0.3185,32.81,5.0,23.3645,12.48,2.1262,1,RECOVERY,3,2,95.7614
111,561370,Will Kon Knueppel win the 2025–26 NBA Rookie of the Year award?,Yes,2026-04-09T02:02:58+00:00,2026-04-09T03:03:08.873002,0.3255,0.383,0.3945,17.4905,5.0,15.361,1.0,0.8833,1,RECOVERY,2,3,97.0849
